date,mmdd,month,day,weekday,count,abundance,description
2024-12-09,12-09,December,9,Monday,12196,Low,Number of NYC Ferry boardings
2024-12-10,12-10,December,10,Tuesday,14181,Low,Number of NYC Ferry boardings
2024-12-11,12-11,December,11,Wednesday,11697,Very Low,Number of NYC Ferry boardings
2024-12-12,12-12,December,12,Thursday,14590,Low,Number of NYC Ferry boardings
2024-12-13,12-13,December,13,Friday,12900,Low,Number of NYC Ferry boardings
2024-12-14,12-14,December,14,Saturday,10594,Very Low,Number of NYC Ferry boardings
2024-12-15,12-15,December,15,Sunday,8313,Very Low,Number of NYC Ferry boardings
2024-12-16,12-16,December,16,Monday,10656,Very Low,Number of NYC Ferry boardings
2024-12-17,12-17,December,17,Tuesday,16732,Medium,Number of NYC Ferry boardings
2024-12-18,12-18,December,18,Wednesday,14695,Low,Number of NYC Ferry boardings
2024-12-19,12-19,December,19,Thursday,14482,Low,Number of NYC Ferry boardings
2024-12-20,12-20,December,20,Friday,9820,Very Low,Number of NYC Ferry boardings
2024-12-21,12-21,December,21,Saturday,7218,Very Low,Number of NYC Ferry boardings
2024-12-22,12-22,December,22,Sunday,5859,Very Low,Number of NYC Ferry boardings
2024-12-23,12-23,December,23,Monday,9922,Very Low,Number of NYC Ferry boardings
2024-12-24,12-24,December,24,Tuesday,5974,Very Low,Number of NYC Ferry boardings
2024-12-25,12-25,December,25,Wednesday,5429,Very Low,Number of NYC Ferry boardings
2024-12-26,12-26,December,26,Thursday,13929,Low,Number of NYC Ferry boardings
2024-12-27,12-27,December,27,Friday,16089,Low,Number of NYC Ferry boardings
2024-12-28,12-28,December,28,Saturday,7488,Very Low,Number of NYC Ferry boardings
2024-12-29,12-29,December,29,Sunday,15366,Low,Number of NYC Ferry boardings
2024-12-30,12-30,December,30,Monday,21023,Medium,Number of NYC Ferry boardings
2024-12-31,12-31,December,31,Tuesday,16022,Low,Number of NYC Ferry boardings
