date,mmdd,month,day,weekday,temperature_c,abundance,description
2024-09-10,09-10,September,10,Tuesday,16.4,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-11,09-11,September,11,Wednesday,20.4,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-12,09-12,September,12,Thursday,16.2,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-13,09-13,September,13,Friday,9.0,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-14,09-14,September,14,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-15,09-15,September,15,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-16,09-16,September,16,Monday,17.75,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-17,09-17,September,17,Tuesday,16.6,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-18,09-18,September,18,Wednesday,14.9,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-19,09-19,September,19,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-20,09-20,September,20,Friday,5.3,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-21,09-21,September,21,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-22,09-22,September,22,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-23,09-23,September,23,Monday,15.4,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-24,09-24,September,24,Tuesday,15.3,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-25,09-25,September,25,Wednesday,12.7,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-26,09-26,September,26,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-27,09-27,September,27,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-28,09-28,September,28,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-29,09-29,September,29,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-09-30,09-30,September,30,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-01,10-01,October,1,Tuesday,13.9,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-02,10-02,October,2,Wednesday,15.600000000000001,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-03,10-03,October,3,Thursday,20.3,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-04,10-04,October,4,Friday,19.4,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-05,10-05,October,5,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-06,10-06,October,6,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-07,10-07,October,7,Monday,15.5,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-08,10-08,October,8,Tuesday,18.9,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-09,10-09,October,9,Wednesday,20.0,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-10,10-10,October,10,Thursday,18.5,Very High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-11,10-11,October,11,Friday,10.2,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-12,10-12,October,12,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-13,10-13,October,13,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-14,10-14,October,14,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-15,10-15,October,15,Tuesday,16.1,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-16,10-16,October,16,Wednesday,15.3,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-17,10-17,October,17,Thursday,14.05,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-18,10-18,October,18,Friday,9.5,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-19,10-19,October,19,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-20,10-20,October,20,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-21,10-21,October,21,Monday,14.3,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-22,10-22,October,22,Tuesday,15.1,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-23,10-23,October,23,Wednesday,15.3,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-24,10-24,October,24,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-25,10-25,October,25,Friday,14.6,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-26,10-26,October,26,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-27,10-27,October,27,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-28,10-28,October,28,Monday,12.6,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-29,10-29,October,29,Tuesday,14.75,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-30,10-30,October,30,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-10-31,10-31,October,31,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-01,11-01,November,1,Friday,13.05,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-02,11-02,November,2,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-03,11-03,November,3,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-04,11-04,November,4,Monday,13.3,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-05,11-05,November,5,Tuesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-06,11-06,November,6,Wednesday,13.850000000000001,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-07,11-07,November,7,Thursday,15.9,High,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-08,11-08,November,8,Friday,14.2,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-09,11-09,November,9,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-10,11-10,November,10,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-11,11-11,November,11,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-12,11-12,November,12,Tuesday,12.7,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-13,11-13,November,13,Wednesday,12.85,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-14,11-14,November,14,Thursday,13.2,Medium,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-15,11-15,November,15,Friday,11.6,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-16,11-16,November,16,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-17,11-17,November,17,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-18,11-18,November,18,Monday,11.35,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-19,11-19,November,19,Tuesday,10.95,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-20,11-20,November,20,Wednesday,12.05,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-21,11-21,November,21,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-22,11-22,November,22,Friday,6.5,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-23,11-23,November,23,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-24,11-24,November,24,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-25,11-25,November,25,Monday,9.7,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-26,11-26,November,26,Tuesday,8.9,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-27,11-27,November,27,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-28,11-28,November,28,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-29,11-29,November,29,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-11-30,11-30,November,30,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-01,12-01,December,1,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-02,12-02,December,2,Monday,7.8,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-03,12-03,December,3,Tuesday,7.6,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-04,12-04,December,4,Wednesday,8.8,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-05,12-05,December,5,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-06,12-06,December,6,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-07,12-07,December,7,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-08,12-08,December,8,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-09,12-09,December,9,Monday,8.5,Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-10,12-10,December,10,Tuesday,5.6,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-11,12-11,December,11,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-12,12-12,December,12,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-13,12-13,December,13,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-14,12-14,December,14,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-15,12-15,December,15,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-16,12-16,December,16,Monday,6.8,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-17,12-17,December,17,Tuesday,6.6,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-18,12-18,December,18,Wednesday,5.7,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-19,12-19,December,19,Thursday,7.15,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-20,12-20,December,20,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-21,12-21,December,21,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-22,12-22,December,22,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-23,12-23,December,23,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-24,12-24,December,24,Tuesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-25,12-25,December,25,Wednesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-26,12-26,December,26,Thursday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-27,12-27,December,27,Friday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-28,12-28,December,28,Saturday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-29,12-29,December,29,Sunday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-30,12-30,December,30,Monday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
2024-12-31,12-31,December,31,Tuesday,,No Data,Daily median water temperature (°C) across NYC DEP watershed reservoirs
