source,mmdd,month,day,abundance,description
ferry_ridership,01-01,January,1,Very Low,Number of NYC Ferry boardings
311_noise_street,01-01,January,1,Medium,Number of street and sidewalk noise complaints to 311
arrests,01-01,January,1,Very Low,Number of NYPD arrests
dog_bites,01-01,January,1,High,Number of dog bite incidents reported to DOHMH
311_heat_hotwater,01-01,January,1,High,Number of heat and hot water complaints to 311
311_dhs,01-01,January,1,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-01,January,1,Very Low,Number of street condition complaints to 311
311_unsanitary,01-01,January,1,Very Low,Number of unsanitary condition complaints to 311
dog_bites,01-02,January,2,High,Number of dog bite incidents reported to DOHMH
311_heat_hotwater,01-02,January,2,Very High,Number of heat and hot water complaints to 311
311_unsanitary,01-02,January,2,High,Number of unsanitary condition complaints to 311
ferry_ridership,01-02,January,2,Low,Number of NYC Ferry boardings
311_dhs,01-02,January,2,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
arrests,01-02,January,2,Low,Number of NYPD arrests
311_noise_street,01-02,January,2,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,01-02,January,2,Medium,Number of street condition complaints to 311
311_street_condition,01-03,January,3,Medium,Number of street condition complaints to 311
311_heat_hotwater,01-03,January,3,Very High,Number of heat and hot water complaints to 311
arrests,01-03,January,3,High,Number of NYPD arrests
dog_bites,01-03,January,3,Medium,Number of dog bite incidents reported to DOHMH
311_noise_street,01-03,January,3,Very Low,Number of street and sidewalk noise complaints to 311
311_unsanitary,01-03,January,3,High,Number of unsanitary condition complaints to 311
ferry_ridership,01-03,January,3,Low,Number of NYC Ferry boardings
311_dhs,01-03,January,3,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-04,January,4,Very High,Number of heat and hot water complaints to 311
311_street_condition,01-04,January,4,Medium,Number of street condition complaints to 311
311_noise_street,01-04,January,4,Very Low,Number of street and sidewalk noise complaints to 311
311_dhs,01-04,January,4,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
dog_bites,01-04,January,4,Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,01-04,January,4,Low,Number of NYC Ferry boardings
311_unsanitary,01-04,January,4,Very High,Number of unsanitary condition complaints to 311
arrests,01-04,January,4,Very High,Number of NYPD arrests
311_noise_street,01-05,January,5,Very Low,Number of street and sidewalk noise complaints to 311
311_unsanitary,01-05,January,5,Medium,Number of unsanitary condition complaints to 311
dog_bites,01-05,January,5,Very Low,Number of dog bite incidents reported to DOHMH
311_street_condition,01-05,January,5,Low,Number of street condition complaints to 311
arrests,01-05,January,5,Medium,Number of NYPD arrests
ferry_ridership,01-05,January,5,Very Low,Number of NYC Ferry boardings
311_dhs,01-05,January,5,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-05,January,5,Very High,Number of heat and hot water complaints to 311
311_unsanitary,01-06,January,6,Low,Number of unsanitary condition complaints to 311
311_dhs,01-06,January,6,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
arrests,01-06,January,6,Very Low,Number of NYPD arrests
311_heat_hotwater,01-06,January,6,Very High,Number of heat and hot water complaints to 311
ferry_ridership,01-06,January,6,Very Low,Number of NYC Ferry boardings
311_noise_street,01-06,January,6,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,01-06,January,6,Low,Number of dog bite incidents reported to DOHMH
311_street_condition,01-06,January,6,Very Low,Number of street condition complaints to 311
311_unsanitary,01-07,January,7,Very Low,Number of unsanitary condition complaints to 311
311_dhs,01-07,January,7,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-07,January,7,Very Low,Number of street condition complaints to 311
arrests,01-07,January,7,Very Low,Number of NYPD arrests
ferry_ridership,01-07,January,7,Very Low,Number of NYC Ferry boardings
311_heat_hotwater,01-07,January,7,Very High,Number of heat and hot water complaints to 311
311_noise_street,01-07,January,7,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,01-07,January,7,Very Low,Number of dog bite incidents reported to DOHMH
arrests,01-08,January,8,High,Number of NYPD arrests
311_dhs,01-08,January,8,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-08,January,8,Very High,Number of heat and hot water complaints to 311
311_unsanitary,01-08,January,8,High,Number of unsanitary condition complaints to 311
ferry_ridership,01-08,January,8,Very Low,Number of NYC Ferry boardings
dog_bites,01-08,January,8,Very Low,Number of dog bite incidents reported to DOHMH
311_street_condition,01-08,January,8,Low,Number of street condition complaints to 311
311_noise_street,01-08,January,8,Very Low,Number of street and sidewalk noise complaints to 311
arrests,01-09,January,9,Low,Number of NYPD arrests
311_heat_hotwater,01-09,January,9,High,Number of heat and hot water complaints to 311
311_dhs,01-09,January,9,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-09,January,9,Medium,Number of street condition complaints to 311
311_unsanitary,01-09,January,9,High,Number of unsanitary condition complaints to 311
dog_bites,01-09,January,9,Very Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,01-09,January,9,Very Low,Number of NYC Ferry boardings
311_noise_street,01-09,January,9,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,01-10,January,10,Very High,Number of dog bite incidents reported to DOHMH
arrests,01-10,January,10,Very High,Number of NYPD arrests
311_unsanitary,01-10,January,10,Very High,Number of unsanitary condition complaints to 311
ferry_ridership,01-10,January,10,Very Low,Number of NYC Ferry boardings
311_noise_street,01-10,January,10,Low,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,01-10,January,10,High,Number of heat and hot water complaints to 311
311_dhs,01-10,January,10,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-10,January,10,High,Number of street condition complaints to 311
arrests,01-11,January,11,Very High,Number of NYPD arrests
dog_bites,01-11,January,11,Very Low,Number of dog bite incidents reported to DOHMH
311_street_condition,01-11,January,11,Low,Number of street condition complaints to 311
ferry_ridership,01-11,January,11,Low,Number of NYC Ferry boardings
311_dhs,01-11,January,11,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-11,January,11,High,Number of heat and hot water complaints to 311
311_unsanitary,01-11,January,11,High,Number of unsanitary condition complaints to 311
311_noise_street,01-11,January,11,Low,Number of street and sidewalk noise complaints to 311
dog_bites,01-12,January,12,Very Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,01-12,January,12,Very Low,Number of NYC Ferry boardings
311_noise_street,01-12,January,12,Low,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,01-12,January,12,High,Number of heat and hot water complaints to 311
311_street_condition,01-12,January,12,Low,Number of street condition complaints to 311
311_dhs,01-12,January,12,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
arrests,01-12,January,12,High,Number of NYPD arrests
311_unsanitary,01-12,January,12,Medium,Number of unsanitary condition complaints to 311
ferry_ridership,01-13,January,13,Very Low,Number of NYC Ferry boardings
311_noise_street,01-13,January,13,Very Low,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,01-13,January,13,High,Number of heat and hot water complaints to 311
311_dhs,01-13,January,13,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_unsanitary,01-13,January,13,Very Low,Number of unsanitary condition complaints to 311
arrests,01-13,January,13,Low,Number of NYPD arrests
dog_bites,01-13,January,13,High,Number of dog bite incidents reported to DOHMH
311_street_condition,01-13,January,13,Very Low,Number of street condition complaints to 311
311_noise_street,01-14,January,14,Very Low,Number of street and sidewalk noise complaints to 311
ferry_ridership,01-14,January,14,Very Low,Number of NYC Ferry boardings
311_heat_hotwater,01-14,January,14,Very High,Number of heat and hot water complaints to 311
311_street_condition,01-14,January,14,Very Low,Number of street condition complaints to 311
arrests,01-14,January,14,Very Low,Number of NYPD arrests
311_dhs,01-14,January,14,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
dog_bites,01-14,January,14,Low,Number of dog bite incidents reported to DOHMH
311_unsanitary,01-14,January,14,Very Low,Number of unsanitary condition complaints to 311
311_unsanitary,01-15,January,15,Medium,Number of unsanitary condition complaints to 311
dog_bites,01-15,January,15,Very Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,01-15,January,15,Very Low,Number of NYC Ferry boardings
311_dhs,01-15,January,15,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,01-15,January,15,Very High,Number of heat and hot water complaints to 311
arrests,01-15,January,15,Very Low,Number of NYPD arrests
311_street_condition,01-15,January,15,Very Low,Number of street condition complaints to 311
311_noise_street,01-15,January,15,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,01-16,January,16,Low,Number of street condition complaints to 311
311_unsanitary,01-16,January,16,Very High,Number of unsanitary condition complaints to 311
ferry_ridership,01-16,January,16,Very Low,Number of NYC Ferry boardings
311_heat_hotwater,01-16,January,16,Very High,Number of heat and hot water complaints to 311
dog_bites,01-16,January,16,High,Number of dog bite incidents reported to DOHMH
arrests,01-16,January,16,Very Low,Number of NYPD arrests
311_noise_street,01-16,January,16,Very Low,Number of street and sidewalk noise complaints to 311
311_dhs,01-16,January,16,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-17,January,17,Medium,Number of street condition complaints to 311
311_heat_hotwater,01-17,January,17,Very High,Number of heat and hot water complaints to 311
ferry_ridership,01-17,January,17,Very Low,Number of NYC Ferry boardings
arrests,01-17,January,17,High,Number of NYPD arrests
311_dhs,01-17,January,17,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
dog_bites,01-17,January,17,Low,Number of dog bite incidents reported to DOHMH
watershed_wq_temperature,01-17,January,17,Very Low,Daily median water temperature (°C) across NYC DEP watershed reservoirs
311_noise_street,01-17,January,17,Very Low,Number of street and sidewalk noise complaints to 311
watershed_wq_turbidity,01-17,January,17,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
311_unsanitary,01-17,January,17,Very High,Number of unsanitary condition complaints to 311
arrests,01-18,January,18,Very High,Number of NYPD arrests
dog_bites,01-18,January,18,Very Low,Number of dog bite incidents reported to DOHMH
311_noise_street,01-18,January,18,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,01-18,January,18,Medium,Number of street condition complaints to 311
311_dhs,01-18,January,18,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,01-18,January,18,Very Low,Number of NYC Ferry boardings
311_unsanitary,01-18,January,18,Very High,Number of unsanitary condition complaints to 311
311_heat_hotwater,01-18,January,18,Very High,Number of heat and hot water complaints to 311
311_street_condition,01-19,January,19,Very Low,Number of street condition complaints to 311
arrests,01-19,January,19,Medium,Number of NYPD arrests
311_heat_hotwater,01-19,January,19,Very High,Number of heat and hot water complaints to 311
ferry_ridership,01-19,January,19,Very Low,Number of NYC Ferry boardings
dog_bites,01-19,January,19,Medium,Number of dog bite incidents reported to DOHMH
311_dhs,01-19,January,19,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_unsanitary,01-19,January,19,Medium,Number of unsanitary condition complaints to 311
311_noise_street,01-19,January,19,Very Low,Number of street and sidewalk noise complaints to 311
311_noise_street,01-20,January,20,Very Low,Number of street and sidewalk noise complaints to 311
ferry_ridership,01-20,January,20,Very Low,Number of NYC Ferry boardings
311_unsanitary,01-20,January,20,Low,Number of unsanitary condition complaints to 311
311_dhs,01-20,January,20,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
arrests,01-20,January,20,Very Low,Number of NYPD arrests
311_street_condition,01-20,January,20,Very Low,Number of street condition complaints to 311
dog_bites,01-20,January,20,Low,Number of dog bite incidents reported to DOHMH
311_heat_hotwater,01-20,January,20,Very High,Number of heat and hot water complaints to 311
dog_bites,01-21,January,21,Medium,Number of dog bite incidents reported to DOHMH
311_unsanitary,01-21,January,21,Low,Number of unsanitary condition complaints to 311
311_heat_hotwater,01-21,January,21,Very High,Number of heat and hot water complaints to 311
ferry_ridership,01-21,January,21,Very Low,Number of NYC Ferry boardings
311_noise_street,01-21,January,21,Very Low,Number of street and sidewalk noise complaints to 311
311_dhs,01-21,January,21,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
arrests,01-21,January,21,Very Low,Number of NYPD arrests
311_street_condition,01-21,January,21,Very Low,Number of street condition complaints to 311
311_noise_street,01-22,January,22,Very Low,Number of street and sidewalk noise complaints to 311
311_dhs,01-22,January,22,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,01-22,January,22,Very Low,Number of NYC Ferry boardings
311_street_condition,01-22,January,22,Medium,Number of street condition complaints to 311
311_unsanitary,01-22,January,22,Very High,Number of unsanitary condition complaints to 311
311_heat_hotwater,01-22,January,22,Very High,Number of heat and hot water complaints to 311
dog_bites,01-22,January,22,Very Low,Number of dog bite incidents reported to DOHMH
arrests,01-22,January,22,Low,Number of NYPD arrests
dog_bites,01-23,January,23,Low,Number of dog bite incidents reported to DOHMH
arrests,01-23,January,23,High,Number of NYPD arrests
311_unsanitary,01-23,January,23,Very High,Number of unsanitary condition complaints to 311
311_dhs,01-23,January,23,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,01-23,January,23,Very Low,Number of NYC Ferry boardings
311_noise_street,01-23,January,23,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,01-23,January,23,Medium,Number of street condition complaints to 311
311_heat_hotwater,01-23,January,23,Very High,Number of heat and hot water complaints to 311
ferry_ridership,01-24,January,24,Very Low,Number of NYC Ferry boardings
arrests,01-24,January,24,Very High,Number of NYPD arrests
311_dhs,01-24,January,24,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_noise_street,01-24,January,24,Very Low,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,01-24,January,24,High,Number of heat and hot water complaints to 311
311_unsanitary,01-24,January,24,Medium,Number of unsanitary condition complaints to 311
dog_bites,01-24,January,24,Very High,Number of dog bite incidents reported to DOHMH
311_street_condition,01-24,January,24,High,Number of street condition complaints to 311
311_noise_street,01-25,January,25,Low,Number of street and sidewalk noise complaints to 311
311_dhs,01-25,January,25,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
dog_bites,01-25,January,25,Low,Number of dog bite incidents reported to DOHMH
arrests,01-25,January,25,Medium,Number of NYPD arrests
ferry_ridership,01-25,January,25,Very Low,Number of NYC Ferry boardings
311_street_condition,01-25,January,25,Medium,Number of street condition complaints to 311
311_unsanitary,01-25,January,25,High,Number of unsanitary condition complaints to 311
311_heat_hotwater,01-25,January,25,High,Number of heat and hot water complaints to 311
arrests,01-26,January,26,High,Number of NYPD arrests
311_street_condition,01-26,January,26,Medium,Number of street condition complaints to 311
311_unsanitary,01-26,January,26,Medium,Number of unsanitary condition complaints to 311
311_heat_hotwater,01-26,January,26,High,Number of heat and hot water complaints to 311
311_dhs,01-26,January,26,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,01-26,January,26,Very Low,Number of NYC Ferry boardings
311_noise_street,01-26,January,26,Low,Number of street and sidewalk noise complaints to 311
dog_bites,01-26,January,26,Very Low,Number of dog bite incidents reported to DOHMH
311_dhs,01-27,January,27,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,01-27,January,27,Very Low,Number of NYC Ferry boardings
311_noise_street,01-27,January,27,Medium,Number of street and sidewalk noise complaints to 311
311_unsanitary,01-27,January,27,Very Low,Number of unsanitary condition complaints to 311
arrests,01-27,January,27,Medium,Number of NYPD arrests
311_street_condition,01-27,January,27,Low,Number of street condition complaints to 311
311_heat_hotwater,01-27,January,27,High,Number of heat and hot water complaints to 311
dog_bites,01-27,January,27,Medium,Number of dog bite incidents reported to DOHMH
311_street_condition,01-28,January,28,Low,Number of street condition complaints to 311
dog_bites,01-28,January,28,Very Low,Number of dog bite incidents reported to DOHMH
311_dhs,01-28,January,28,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,01-28,January,28,Very Low,Number of NYC Ferry boardings
311_noise_street,01-28,January,28,Very Low,Number of street and sidewalk noise complaints to 311
arrests,01-28,January,28,Very Low,Number of NYPD arrests
311_heat_hotwater,01-28,January,28,High,Number of heat and hot water complaints to 311
311_unsanitary,01-28,January,28,Very Low,Number of unsanitary condition complaints to 311
311_heat_hotwater,01-29,January,29,High,Number of heat and hot water complaints to 311
arrests,01-29,January,29,Low,Number of NYPD arrests
311_dhs,01-29,January,29,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,01-29,January,29,Very Low,Number of NYC Ferry boardings
311_noise_street,01-29,January,29,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,01-29,January,29,Very High,Number of street condition complaints to 311
311_unsanitary,01-29,January,29,High,Number of unsanitary condition complaints to 311
dog_bites,01-29,January,29,High,Number of dog bite incidents reported to DOHMH
311_dhs,01-30,January,30,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
arrests,01-30,January,30,Medium,Number of NYPD arrests
dog_bites,01-30,January,30,Very Low,Number of dog bite incidents reported to DOHMH
311_heat_hotwater,01-30,January,30,Very High,Number of heat and hot water complaints to 311
ferry_ridership,01-30,January,30,Low,Number of NYC Ferry boardings
311_noise_street,01-30,January,30,Very Low,Number of street and sidewalk noise complaints to 311
311_unsanitary,01-30,January,30,Medium,Number of unsanitary condition complaints to 311
311_street_condition,01-30,January,30,Very High,Number of street condition complaints to 311
arrests,01-31,January,31,Very High,Number of NYPD arrests
311_noise_street,01-31,January,31,Very Low,Number of street and sidewalk noise complaints to 311
311_dhs,01-31,January,31,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,01-31,January,31,High,Number of street condition complaints to 311
dog_bites,01-31,January,31,Very Low,Number of dog bite incidents reported to DOHMH
311_heat_hotwater,01-31,January,31,Very High,Number of heat and hot water complaints to 311
ferry_ridership,01-31,January,31,Low,Number of NYC Ferry boardings
311_unsanitary,01-31,January,31,Medium,Number of unsanitary condition complaints to 311
311_noise_street,02-01,February,1,Very Low,Number of street and sidewalk noise complaints to 311
311_unsanitary,02-01,February,1,High,Number of unsanitary condition complaints to 311
ferry_ridership,02-01,February,1,Low,Number of NYC Ferry boardings
311_heat_hotwater,02-01,February,1,High,Number of heat and hot water complaints to 311
dog_bites,02-01,February,1,Low,Number of dog bite incidents reported to DOHMH
311_street_condition,02-01,February,1,Very High,Number of street condition complaints to 311
arrests,02-01,February,1,Very High,Number of NYPD arrests
311_dhs,02-01,February,1,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,02-02,February,2,Very Low,Number of NYC Ferry boardings
dog_bites,02-02,February,2,Medium,Number of dog bite incidents reported to DOHMH
311_unsanitary,02-02,February,2,Low,Number of unsanitary condition complaints to 311
311_dhs,02-02,February,2,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,02-02,February,2,Medium,Number of street condition complaints to 311
311_heat_hotwater,02-02,February,2,High,Number of heat and hot water complaints to 311
arrests,02-02,February,2,High,Number of NYPD arrests
311_noise_street,02-02,February,2,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,02-03,February,3,Medium,Number of dog bite incidents reported to DOHMH
311_unsanitary,02-03,February,3,Very Low,Number of unsanitary condition complaints to 311
311_dhs,02-03,February,3,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,02-03,February,3,Very Low,Number of NYC Ferry boardings
arrests,02-03,February,3,Low,Number of NYPD arrests
311_street_condition,02-03,February,3,Low,Number of street condition complaints to 311
311_heat_hotwater,02-03,February,3,High,Number of heat and hot water complaints to 311
311_noise_street,02-03,February,3,Low,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,02-04,February,4,High,Number of heat and hot water complaints to 311
ferry_ridership,02-04,February,4,Very Low,Number of NYC Ferry boardings
311_noise_street,02-04,February,4,Low,Number of street and sidewalk noise complaints to 311
311_unsanitary,02-04,February,4,Very Low,Number of unsanitary condition complaints to 311
311_street_condition,02-04,February,4,Very Low,Number of street condition complaints to 311
dog_bites,02-04,February,4,Medium,Number of dog bite incidents reported to DOHMH
arrests,02-04,February,4,Very Low,Number of NYPD arrests
311_dhs,02-04,February,4,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,02-05,February,5,High,Number of heat and hot water complaints to 311
dog_bites,02-05,February,5,Low,Number of dog bite incidents reported to DOHMH
311_noise_street,02-05,February,5,Very Low,Number of street and sidewalk noise complaints to 311
arrests,02-05,February,5,Medium,Number of NYPD arrests
311_unsanitary,02-05,February,5,Medium,Number of unsanitary condition complaints to 311
ferry_ridership,02-05,February,5,Very Low,Number of NYC Ferry boardings
311_street_condition,02-05,February,5,Very High,Number of street condition complaints to 311
311_dhs,02-05,February,5,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_unsanitary,02-06,February,6,High,Number of unsanitary condition complaints to 311
arrests,02-06,February,6,Very High,Number of NYPD arrests
dog_bites,02-06,February,6,Very Low,Number of dog bite incidents reported to DOHMH
311_noise_street,02-06,February,6,Very Low,Number of street and sidewalk noise complaints to 311
311_street_condition,02-06,February,6,Very High,Number of street condition complaints to 311
311_heat_hotwater,02-06,February,6,Very High,Number of heat and hot water complaints to 311
311_dhs,02-06,February,6,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,02-06,February,6,Low,Number of NYC Ferry boardings
311_heat_hotwater,02-07,February,7,High,Number of heat and hot water complaints to 311
311_street_condition,02-07,February,7,High,Number of street condition complaints to 311
311_dhs,02-07,February,7,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_noise_street,02-07,February,7,Low,Number of street and sidewalk noise complaints to 311
dog_bites,02-07,February,7,Very Low,Number of dog bite incidents reported to DOHMH
311_unsanitary,02-07,February,7,High,Number of unsanitary condition complaints to 311
arrests,02-07,February,7,Very High,Number of NYPD arrests
ferry_ridership,02-07,February,7,Low,Number of NYC Ferry boardings
dog_bites,02-08,February,8,Very Low,Number of dog bite incidents reported to DOHMH
311_street_condition,02-08,February,8,High,Number of street condition complaints to 311
311_dhs,02-08,February,8,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_noise_street,02-08,February,8,Low,Number of street and sidewalk noise complaints to 311
ferry_ridership,02-08,February,8,Low,Number of NYC Ferry boardings
311_heat_hotwater,02-08,February,8,High,Number of heat and hot water complaints to 311
311_unsanitary,02-08,February,8,Low,Number of unsanitary condition complaints to 311
arrests,02-08,February,8,Very High,Number of NYPD arrests
arrests,02-09,February,9,High,Number of NYPD arrests
311_street_condition,02-09,February,9,Medium,Number of street condition complaints to 311
ferry_ridership,02-09,February,9,Low,Number of NYC Ferry boardings
311_noise_street,02-09,February,9,Medium,Number of street and sidewalk noise complaints to 311
311_unsanitary,02-09,February,9,Low,Number of unsanitary condition complaints to 311
311_heat_hotwater,02-09,February,9,Medium,Number of heat and hot water complaints to 311
dog_bites,02-09,February,9,Very Low,Number of dog bite incidents reported to DOHMH
311_dhs,02-09,February,9,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_unsanitary,02-10,February,10,Very Low,Number of unsanitary condition complaints to 311
311_noise_street,02-10,February,10,Medium,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,02-10,February,10,Medium,Number of heat and hot water complaints to 311
311_street_condition,02-10,February,10,Very Low,Number of street condition complaints to 311
ferry_ridership,02-10,February,10,Low,Number of NYC Ferry boardings
311_dhs,02-10,February,10,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
dog_bites,02-10,February,10,High,Number of dog bite incidents reported to DOHMH
arrests,02-10,February,10,Medium,Number of NYPD arrests
dog_bites,02-11,February,11,Medium,Number of dog bite incidents reported to DOHMH
ferry_ridership,02-11,February,11,Very Low,Number of NYC Ferry boardings
311_unsanitary,02-11,February,11,Very Low,Number of unsanitary condition complaints to 311
arrests,02-11,February,11,Very Low,Number of NYPD arrests
311_heat_hotwater,02-11,February,11,High,Number of heat and hot water complaints to 311
311_dhs,02-11,February,11,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_noise_street,02-11,February,11,Medium,Number of street and sidewalk noise complaints to 311
311_street_condition,02-11,February,11,Very Low,Number of street condition complaints to 311
311_heat_hotwater,02-12,February,12,High,Number of heat and hot water complaints to 311
311_dhs,02-12,February,12,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_street_condition,02-12,February,12,Medium,Number of street condition complaints to 311
ferry_ridership,02-12,February,12,Low,Number of NYC Ferry boardings
311_unsanitary,02-12,February,12,High,Number of unsanitary condition complaints to 311
dog_bites,02-12,February,12,Medium,Number of dog bite incidents reported to DOHMH
arrests,02-12,February,12,Low,Number of NYPD arrests
311_noise_street,02-12,February,12,Low,Number of street and sidewalk noise complaints to 311
311_street_condition,02-13,February,13,Low,Number of street condition complaints to 311
311_unsanitary,02-13,February,13,Medium,Number of unsanitary condition complaints to 311
311_noise_street,02-13,February,13,Very Low,Number of street and sidewalk noise complaints to 311
ferry_ridership,02-13,February,13,Very Low,Number of NYC Ferry boardings
arrests,02-13,February,13,Low,Number of NYPD arrests
311_dhs,02-13,February,13,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,02-13,February,13,Very High,Number of heat and hot water complaints to 311
dog_bites,02-13,February,13,Very Low,Number of dog bite incidents reported to DOHMH
311_unsanitary,02-14,February,14,Low,Number of unsanitary condition complaints to 311
311_noise_street,02-14,February,14,Very Low,Number of street and sidewalk noise complaints to 311
arrests,02-14,February,14,High,Number of NYPD arrests
dog_bites,02-14,February,14,Low,Number of dog bite incidents reported to DOHMH
ferry_ridership,02-14,February,14,Low,Number of NYC Ferry boardings
311_street_condition,02-14,February,14,High,Number of street condition complaints to 311
311_dhs,02-14,February,14,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,02-14,February,14,Very High,Number of heat and hot water complaints to 311
311_street_condition,02-15,February,15,High,Number of street condition complaints to 311
311_unsanitary,02-15,February,15,Medium,Number of unsanitary condition complaints to 311
311_noise_street,02-15,February,15,Very Low,Number of street and sidewalk noise complaints to 311
311_heat_hotwater,02-15,February,15,Very High,Number of heat and hot water complaints to 311
dog_bites,02-15,February,15,High,Number of dog bite incidents reported to DOHMH
arrests,02-15,February,15,Very High,Number of NYPD arrests
ferry_ridership,02-15,February,15,Low,Number of NYC Ferry boardings
311_dhs,02-15,February,15,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,02-16,February,16,High,Number of heat and hot water complaints to 311
dog_bites,02-16,February,16,Very Low,Number of dog bite incidents reported to DOHMH
311_unsanitary,02-16,February,16,Medium,Number of unsanitary condition complaints to 311
arrests,02-16,February,16,Medium,Number of NYPD arrests
311_dhs,02-16,February,16,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
ferry_ridership,02-16,February,16,Very Low,Number of NYC Ferry boardings
311_street_condition,02-16,February,16,Medium,Number of street condition complaints to 311
311_noise_street,02-16,February,16,Very Low,Number of street and sidewalk noise complaints to 311
ferry_ridership,02-17,February,17,Very Low,Number of NYC Ferry boardings
arrests,02-17,February,17,Low,Number of NYPD arrests
311_street_condition,02-17,February,17,Very Low,Number of street condition complaints to 311
311_dhs,02-17,February,17,Very Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_heat_hotwater,02-17,February,17,High,Number of heat and hot water complaints to 311
311_unsanitary,02-17,February,17,Very Low,Number of unsanitary condition complaints to 311
311_noise_street,02-17,February,17,Very Low,Number of street and sidewalk noise complaints to 311
dog_bites,02-17,February,17,Very High,Number of dog bite incidents reported to DOHMH
311_unsanitary,02-18,February,18,Very Low,Number of unsanitary condition complaints to 311
