date,mmdd,month,day,weekday,turbidity,abundance,description
2024-04-26,04-26,April,26,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-04-27,04-27,April,27,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-04-28,04-28,April,28,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-04-29,04-29,April,29,Monday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-04-30,04-30,April,30,Tuesday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-01,05-01,May,1,Wednesday,0.76,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-02,05-02,May,2,Thursday,1.4,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-03,05-03,May,3,Friday,1.2,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-04,05-04,May,4,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-05,05-05,May,5,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-06,05-06,May,6,Monday,0.72,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-07,05-07,May,7,Tuesday,1.1,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-08,05-08,May,8,Wednesday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-09,05-09,May,9,Thursday,1.1,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-10,05-10,May,10,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-11,05-11,May,11,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-12,05-12,May,12,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-13,05-13,May,13,Monday,1.9,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-14,05-14,May,14,Tuesday,1.5,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-15,05-15,May,15,Wednesday,1.2,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-16,05-16,May,16,Thursday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-17,05-17,May,17,Friday,0.65,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-18,05-18,May,18,Saturday,0.595,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-19,05-19,May,19,Sunday,0.615,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-20,05-20,May,20,Monday,1.7,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-21,05-21,May,21,Tuesday,0.8,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-22,05-22,May,22,Wednesday,1.1,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-23,05-23,May,23,Thursday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-24,05-24,May,24,Friday,1.2,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-25,05-25,May,25,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-26,05-26,May,26,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-27,05-27,May,27,Monday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-28,05-28,May,28,Tuesday,0.97,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-29,05-29,May,29,Wednesday,1.8,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-30,05-30,May,30,Thursday,0.87,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-05-31,05-31,May,31,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-01,06-01,June,1,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-02,06-02,June,2,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-03,06-03,June,3,Monday,1.7,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-04,06-04,June,4,Tuesday,1.1,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-05,06-05,June,5,Wednesday,0.965,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-06,06-06,June,6,Thursday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-07,06-07,June,7,Friday,0.76,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-08,06-08,June,8,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-09,06-09,June,9,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-10,06-10,June,10,Monday,1.6,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-11,06-11,June,11,Tuesday,1.4,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-12,06-12,June,12,Wednesday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-13,06-13,June,13,Thursday,0.99,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-14,06-14,June,14,Friday,0.83,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-15,06-15,June,15,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-16,06-16,June,16,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-17,06-17,June,17,Monday,0.78,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-18,06-18,June,18,Tuesday,1.1,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-19,06-19,June,19,Wednesday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-20,06-20,June,20,Thursday,0.68,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-21,06-21,June,21,Friday,0.7,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-22,06-22,June,22,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-23,06-23,June,23,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-24,06-24,June,24,Monday,1.0,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-25,06-25,June,25,Tuesday,1.2,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-26,06-26,June,26,Wednesday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-27,06-27,June,27,Thursday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-28,06-28,June,28,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-29,06-29,June,29,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-06-30,06-30,June,30,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-01,07-01,July,1,Monday,0.76,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-02,07-02,July,2,Tuesday,0.9,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-03,07-03,July,3,Wednesday,1.9,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-04,07-04,July,4,Thursday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-05,07-05,July,5,Friday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-06,07-06,July,6,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-07,07-07,July,7,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-08,07-08,July,8,Monday,0.875,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-09,07-09,July,9,Tuesday,1.45,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-10,07-10,July,10,Wednesday,1.0,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-11,07-11,July,11,Thursday,1.05,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-12,07-12,July,12,Friday,6.6499999999999995,Very High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-13,07-13,July,13,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-14,07-14,July,14,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-15,07-15,July,15,Monday,1.5,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-16,07-16,July,16,Tuesday,1.1,Medium,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-17,07-17,July,17,Wednesday,0.79,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-18,07-18,July,18,Thursday,0.7150000000000001,Very Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-19,07-19,July,19,Friday,0.81,Low,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-20,07-20,July,20,Saturday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-21,07-21,July,21,Sunday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-22,07-22,July,22,Monday,1.5,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-23,07-23,July,23,Tuesday,1.4,High,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
2024-07-24,07-24,July,24,Wednesday,,,Daily median turbidity (NTU) across NYC DEP watershed reservoirs
